overall_quality,feature,value,count,group_rows,raw_probability,smoothed_probability
moderate,sewage_discharge,no,216,250,0.864,0.857707509881423
moderate,sewage_discharge,unsure,22,250,0.088,0.09090909090909091
moderate,sewage_discharge,yes,12,250,0.048,0.05138339920948617
moderate,construction_in_stream,no,186,250,0.744,0.7391304347826086
moderate,construction_in_stream,unsure,20,250,0.08,0.08300395256916997
moderate,construction_in_stream,yes,44,250,0.176,0.17786561264822134
moderate,impervious_area,both_sides,35,250,0.14,0.14173228346456693
moderate,impervious_area,none,100,250,0.4,0.39763779527559057
moderate,impervious_area,one_side,102,250,0.408,0.40551181102362205
moderate,impervious_area,unsure,13,250,0.052,0.05511811023622047
moderate,riparian_vegetation,both_sides,119,250,0.476,0.47244094488188976
moderate,riparian_vegetation,none,11,250,0.044,0.047244094488188976
moderate,riparian_vegetation,one_side,109,250,0.436,0.4330708661417323
moderate,riparian_vegetation,unsure,11,250,0.044,0.047244094488188976
moderate,vegetation_cuts,no,167,250,0.668,0.6640316205533597
moderate,vegetation_cuts,unsure,22,250,0.088,0.09090909090909091
moderate,vegetation_cuts,yes,61,250,0.244,0.2450592885375494
poor,channel_form,flat,40,132,0.30303030303030304,0.3014705882352941
poor,channel_form,u_shape,45,132,0.3409090909090909,0.3382352941176471
poor,channel_form,unsure,6,132,0.045454545454545456,0.051470588235294115
poor,channel_form,v_shape,41,132,0.3106060606060606,0.3088235294117647
poor,bottom_type,artificial,97,132,0.7348484848484849,0.725925925925926
poor,bottom_type,natural,30,132,0.22727272727272727,0.22962962962962963
poor,bottom_type,unsure,5,132,0.03787878787878788,0.044444444444444446
poor,bank_type,artificial,80,132,0.6060606060606061,0.5955882352941176
poor,bank_type,laid_stones,30,132,0.22727272727272727,0.22794117647058823
poor,bank_type,natural,18,132,0.13636363636363635,0.13970588235294118
poor,bank_type,unsure,4,132,0.030303030303030304,0.03676470588235294
poor,habitats_present,no,101,132,0.7651515151515151,0.7611940298507462
poor,habitats_present,yes,31,132,0.23484848484848486,0.23880597014925373
poor,natural_debris_present,no,89,132,0.6742424242424242,0.6716417910447762
poor,natural_debris_present,yes,43,132,0.32575757575757575,0.3283582089552239
poor,water_flow,dry,34,132,0.25757575757575757,0.25547445255474455
poor,water_flow,fast,10,132,0.07575757575757576,0.08029197080291971
poor,water_flow,slow,19,132,0.14393939393939395,0.145985401459854
poor,water_flow,stagnant_intermittent,63,132,0.4772727272727273,0.46715328467153283
poor,water_flow,unsure,6,132,0.045454545454545456,0.051094890510948905
poor,water_aspect,altered_color,36,132,0.2727272727272727,0.27007299270072993
poor,water_aspect,clear_transparent,12,132,0.09090909090909091,0.0948905109489051
poor,water_aspect,has_foam,25,132,0.1893939393939394,0.1897810218978102
poor,water_aspect,muddy_turbid,58,132,0.4393939393939394,0.4306569343065693
poor,water_aspect,unsure,1,132,0.007575757575757576,0.014598540145985401
poor,barriers_present,no,51,132,0.38636363636363635,0.3851851851851852
poor,barriers_present,unsure,15,132,0.11363636363636363,0.11851851851851852
poor,barriers_present,yes,66,132,0.5,0.4962962962962963
poor,draining_pipes,no,33,132,0.25,0.2518518518518518
poor,draining_pipes,unsure,13,132,0.09848484848484848,0.1037037037037037
poor,draining_pipes,yes,86,132,0.6515151515151515,0.6444444444444445
poor,sewage_discharge,no,49,132,0.3712121212121212,0.37037037037037035
poor,sewage_discharge,unsure,13,132,0.09848484848484848,0.1037037037037037
poor,sewage_discharge,yes,70,132,0.5303030303030303,0.5259259259259259
poor,construction_in_stream,no,38,132,0.2878787878787879,0.28888888888888886
poor,construction_in_stream,unsure,15,132,0.11363636363636363,0.11851851851851852
poor,construction_in_stream,yes,79,132,0.5984848484848485,0.5925925925925926
poor,impervious_area,both_sides,53,132,0.4015151515151515,0.39705882352941174
poor,impervious_area,none,12,132,0.09090909090909091,0.09558823529411764
poor,impervious_area,one_side,57,132,0.4318181818181818,0.4264705882352941
poor,impervious_area,unsure,10,132,0.07575757575757576,0.08088235294117647
poor,riparian_vegetation,both_sides,13,132,0.09848484848484848,0.10294117647058823
poor,riparian_vegetation,none,74,132,0.5606060606060606,0.5514705882352942
poor,riparian_vegetation,one_side,39,132,0.29545454545454547,0.29411764705882354
poor,riparian_vegetation,unsure,6,132,0.045454545454545456,0.051470588235294115
poor,vegetation_cuts,no,42,132,0.3181818181818182,0.31851851851851853
poor,vegetation_cuts,unsure,13,132,0.09848484848484848,0.1037037037037037
poor,vegetation_cuts,yes,77,132,0.5833333333333334,0.5777777777777777
