observation_id,synthetic_source,channel_form,bottom_type,bank_type,habitats_present,natural_debris_present,water_flow,water_aspect,barriers_present,draining_pipes,sewage_discharge,construction_in_stream,impervious_area,riparian_vegetation,vegetation_cuts,overall_ecosystem_quality,synthetic_profile,synthetic_anomaly,synthetic_anomaly_type
REF_0223,generated_prototype,flat,artificial,artificial,yes,no,stagnant_intermittent,muddy_turbid,unsure,no,no,no,both_sides,none,yes,poor,poor,0,none
REF_0224,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0225,generated_prototype,u_shape,natural,natural,yes,no,fast,clear_transparent,no,no,no,no,unsure,both_sides,no,good,good,0,none
REF_0226,generated_prototype,u_shape,natural,laid_stones,yes,yes,slow,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0228,generated_prototype,flat,artificial,artificial,no,yes,stagnant_intermittent,muddy_turbid,yes,no,yes,yes,unsure,none,no,poor,poor,0,none
REF_0229,generated_prototype,unsure,artificial,natural,yes,no,unsure,clear_transparent,yes,no,no,yes,both_sides,one_side,no,moderate,moderate,0,none
REF_0231,generated_prototype,unsure,natural,natural,yes,no,slow,clear_transparent,no,yes,no,no,one_side,unsure,no,moderate,moderate,0,none
REF_0232,generated_prototype,u_shape,artificial,natural,yes,yes,slow,muddy_turbid,yes,no,no,no,none,both_sides,no,moderate,moderate,0,none
REF_0233,generated_prototype,flat,natural,laid_stones,yes,yes,stagnant_intermittent,clear_transparent,yes,no,no,no,none,one_side,no,good,good,0,none
REF_0236,generated_prototype,flat,natural,natural,no,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0240,generated_prototype,u_shape,artificial,artificial,yes,yes,slow,clear_transparent,no,no,no,yes,none,one_side,no,moderate,moderate,0,none
REF_0244,generated_prototype,unsure,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0245,generated_prototype,u_shape,artificial,unsure,no,no,dry,muddy_turbid,no,yes,no,yes,one_side,both_sides,no,poor,poor,0,none
REF_0246,generated_prototype,v_shape,natural,artificial,yes,no,stagnant_intermittent,muddy_turbid,yes,unsure,no,no,none,both_sides,no,moderate,moderate,0,none
REF_0247,generated_prototype,flat,natural,natural,yes,yes,fast,muddy_turbid,no,no,no,no,none,one_side,no,moderate,moderate,0,none
REF_0248,generated_prototype,unsure,natural,natural,yes,yes,fast,clear_transparent,no,no,no,yes,none,both_sides,no,good,good,0,none
REF_0249,generated_prototype,flat,artificial,artificial,no,no,stagnant_intermittent,altered_color,unsure,no,no,yes,one_side,none,no,poor,poor,0,none
REF_0252,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,one_side,yes,good,good,0,none
REF_0253,generated_prototype,u_shape,natural,natural,yes,yes,stagnant_intermittent,clear_transparent,unsure,no,no,no,none,both_sides,no,good,good,0,none
REF_0254,generated_prototype,u_shape,natural,natural,yes,no,slow,clear_transparent,no,no,no,no,one_side,one_side,no,good,good,0,none
REF_0255,generated_prototype,u_shape,artificial,laid_stones,no,no,slow,muddy_turbid,no,no,no,no,none,one_side,no,moderate,moderate,0,none
REF_0256,generated_prototype,flat,artificial,artificial,no,yes,stagnant_intermittent,muddy_turbid,no,unsure,yes,yes,both_sides,none,no,poor,poor,0,none
REF_0258,generated_prototype,flat,artificial,artificial,yes,yes,stagnant_intermittent,muddy_turbid,yes,yes,yes,yes,both_sides,one_side,no,poor,poor,0,none
REF_0259,generated_prototype,flat,natural,laid_stones,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,yes,good,good,0,none
REF_0260,generated_prototype,u_shape,artificial,artificial,no,yes,stagnant_intermittent,muddy_turbid,yes,yes,yes,no,one_side,none,no,poor,poor,0,none
REF_0263,generated_prototype,u_shape,natural,laid_stones,yes,yes,stagnant_intermittent,clear_transparent,no,yes,no,yes,none,both_sides,yes,moderate,moderate,0,none
REF_0264,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0265,generated_prototype,v_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0266,generated_prototype,u_shape,unsure,unsure,yes,yes,slow,clear_transparent,no,no,unsure,no,one_side,both_sides,yes,moderate,moderate,0,none
REF_0268,generated_prototype,v_shape,natural,natural,no,yes,fast,clear_transparent,no,no,no,unsure,none,both_sides,no,good,good,0,none
REF_0269,generated_prototype,flat,artificial,artificial,yes,yes,unsure,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0270,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,unsure,both_sides,no,good,good,0,none
REF_0271,generated_prototype,u_shape,artificial,laid_stones,yes,no,dry,clear_transparent,yes,no,no,no,one_side,one_side,no,moderate,moderate,0,none
REF_0272,generated_prototype,v_shape,artificial,laid_stones,no,no,stagnant_intermittent,clear_transparent,no,no,no,yes,one_side,one_side,unsure,moderate,moderate,0,none
REF_0273,generated_prototype,v_shape,natural,natural,no,no,stagnant_intermittent,clear_transparent,unsure,no,no,no,both_sides,one_side,yes,moderate,moderate,0,none
REF_0274,generated_prototype,v_shape,artificial,artificial,yes,yes,fast,muddy_turbid,no,yes,no,no,none,one_side,no,moderate,moderate,0,none
REF_0275,generated_prototype,u_shape,natural,natural,no,yes,slow,clear_transparent,no,no,no,unsure,none,both_sides,no,moderate,moderate,0,none
REF_0279,generated_prototype,u_shape,natural,natural,yes,yes,stagnant_intermittent,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0280,generated_prototype,u_shape,natural,artificial,no,no,stagnant_intermittent,muddy_turbid,yes,unsure,no,yes,both_sides,none,no,poor,poor,0,none
REF_0282,generated_prototype,u_shape,natural,laid_stones,yes,no,slow,clear_transparent,no,no,unsure,no,none,both_sides,yes,moderate,moderate,0,none
REF_0283,generated_prototype,u_shape,natural,natural,no,yes,slow,clear_transparent,no,no,no,no,one_side,both_sides,unsure,moderate,moderate,0,none
REF_0285,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,one_side,no,good,good,0,none
REF_0286,generated_prototype,v_shape,artificial,artificial,yes,no,stagnant_intermittent,has_foam,no,unsure,unsure,no,unsure,none,yes,poor,poor,0,none
REF_0287,generated_prototype,flat,natural,laid_stones,yes,no,unsure,clear_transparent,no,no,no,no,none,one_side,unsure,moderate,moderate,0,none
REF_0289,generated_prototype,flat,natural,unsure,yes,yes,slow,clear_transparent,no,unsure,no,no,one_side,both_sides,no,good,good,0,none
REF_0290,generated_prototype,flat,natural,natural,yes,no,fast,clear_transparent,yes,no,no,no,none,both_sides,no,good,good,0,none
REF_0291,generated_prototype,flat,natural,natural,yes,no,fast,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0293,generated_prototype,v_shape,natural,artificial,yes,no,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0294,generated_prototype,flat,natural,natural,yes,no,slow,clear_transparent,yes,no,no,no,both_sides,one_side,no,moderate,moderate,0,none
REF_0295,generated_prototype,v_shape,natural,artificial,yes,yes,slow,altered_color,yes,yes,yes,no,one_side,none,no,poor,poor,0,none
